comparison_key,source_user,source_repo,source_results_root,benchmark,run_label,run_root,run_name,method,method_display,method_family,config_id,config_ids,config_payload_json,quant_meta_json,prompt_id,prompt_index,prompt,seed,video_name,video_path,video_rel_path,resolution_h,resolution_w,num_frames,fps,duration_sec,is_ten_second,wall_time_sec,peak_vram_bytes,peak_vram_mb,compression_ratio,bf16_kv_bytes,compressed_kv_bytes,quantize_time_s,dequantize_time_s,total_runtime_s,avg_runtime_s_per_prompt,moviegen_fidelity_psnr,moviegen_fidelity_ssim,moviegen_fidelity_lpips,moviegen_fidelity_psnr_agg,moviegen_fidelity_ssim_agg,moviegen_fidelity_lpips_agg,moviegen_background_consistency,moviegen_imaging_quality,moviegen_subject_consistency,moviegen_aesthetic_quality,moviegen_background_consistency_agg,moviegen_imaging_quality_agg,moviegen_subject_consistency_agg,moviegen_aesthetic_quality_agg,moviegen_drift_points,moviegen_drift_last_imaging_quality,source_moviegen_run_root,storyeval_fidelity_psnr,storyeval_fidelity_ssim,storyeval_fidelity_lpips,storyeval_fidelity_psnr_agg,storyeval_fidelity_ssim_agg,storyeval_fidelity_lpips_agg,storyeval_background_consistency,storyeval_imaging_quality,storyeval_subject_consistency,storyeval_aesthetic_quality,storyeval_background_consistency_agg,storyeval_imaging_quality_agg,storyeval_subject_consistency_agg,storyeval_aesthetic_quality_agg,storyeval_avg_runtime_sec,storyeval_avg_peak_vram_mb,storyeval_max_peak_vram_mb,storyeval_num_records,storyeval_num_prompts,storyeval_num_success,storyeval_num_failed,storyeval_drift_points,storyeval_drift_last_imaging_quality
vaishak:moviegen:/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s:AGE_TIER_INT2 [9bbee19b8cfd]:0:0,vaishak,combined-kv-quant,/data/vaishak/combined-kv-quant/results,moviegen,backfill_age_tier_int2_9bbee19b8cfd_10s,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s,backfill_age_tier_int2_9bbee19b8cfd_10s,AGE_TIER_INT2,AGE_TIER_INT2,AGE_TIER,9bbee19b8cfd,9bbee19b8cfd,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}","{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",0,0,"A stylish woman strolls down a bustling Tokyo street, the warm glow of neon lights and animated city signs casting vibrant reflections. She wears a sleek black leather jacket paired with a flowing red dress and black boots, her black purse slung over her shoulder. Sunglasses perched on her nose and a bold red lipstick add to her confident, casual demeanor. The street is damp and reflective, creating a mirror-like effect that enhances the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. The scene is captured in a dynamic medium shot with the woman walking slightly to one side, highlighting her graceful strides.",0,prompt_0000_seed_0.mp4,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0000_seed_0.mp4,results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0000_seed_0.mp4,480,832,165,16,10.3125,True,98.8462708410807,14638617600,13960.4736328125,4.414506364707783,12076646400,2735673120,204.71710980311036,6.769590204115957,1052.5084190447815,105.25084190447815,11.907381413180586,0.25890716838391437,0.6237863267235684,15.181814155670157,0.45659412055661885,0.47035289847912887,0.8417269078696646,44.590865418405244,0.7892620206424376,0.5864717960357666,0.8635956554878049,0.5780507068865226,0.7943759368687141,0.5102153599262238,1,0.573083570873376,/data/vaishak/kv-quant-longhorizon/results/runs/1772751420_baseline10s_10prompts_v3,,,,,,,,,,,,,,,,,,,,,,,
vaishak:moviegen:/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s:AGE_TIER_INT2 [9bbee19b8cfd]:1:1,vaishak,combined-kv-quant,/data/vaishak/combined-kv-quant/results,moviegen,backfill_age_tier_int2_9bbee19b8cfd_10s,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s,backfill_age_tier_int2_9bbee19b8cfd_10s,AGE_TIER_INT2,AGE_TIER_INT2,AGE_TIER,9bbee19b8cfd,9bbee19b8cfd,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}","{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",1,1,"A stunning mid-afternoon landscape photograph with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows in the brisk wind as they move, creating a sense of natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance, adding to the majestic setting. Wispy clouds and a high sun cast a warm glow over the scene, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out the detailed textures of the mammoths and the snowy environment, capturing every nuance of these prehistoric giants in breathtaking clarity.",1,prompt_0001_seed_1.mp4,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0001_seed_1.mp4,results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0001_seed_1.mp4,480,832,165,16,10.3125,True,110.09173800703138,15437736960,14722.5732421875,4.414506364707783,12076646400,2735673120,204.71710980311036,6.769590204115957,1052.5084190447815,105.25084190447815,15.742084221438509,0.41724194833194383,0.5337958334521814,15.181814155670157,0.45659412055661885,0.47035289847912887,0.825171493902439,63.68135033809777,0.7319455478885551,0.43140682578086853,0.8635956554878049,0.5780507068865226,0.7943759368687141,0.5102153599262238,1,0.573083570873376,/data/vaishak/kv-quant-longhorizon/results/runs/1772751420_baseline10s_10prompts_v3,,,,,,,,,,,,,,,,,,,,,,,
vaishak:moviegen:/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s:AGE_TIER_INT2 [9bbee19b8cfd]:2:2,vaishak,combined-kv-quant,/data/vaishak/combined-kv-quant/results,moviegen,backfill_age_tier_int2_9bbee19b8cfd_10s,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s,backfill_age_tier_int2_9bbee19b8cfd_10s,AGE_TIER_INT2,AGE_TIER_INT2,AGE_TIER,9bbee19b8cfd,9bbee19b8cfd,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}","{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",2,2,"A movie trailer in a classic cinematic style, featuring the adventurous journey of a 30-year-old space man wearing a vibrant red wool knitted motorcycle helmet. The scene unfolds against a vast blue sky and a desolate salt desert landscape. Shot on 35mm film, the trailer showcases vivid and rich colors, capturing the hero as he navigates through the harsh terrain with determination. His helmet glints under the sun, adding to the dramatic effect. The background is a mix of sweeping desert vistas and distant horizons, with the occasional shimmer of light reflecting off the salt flats. A dynamic medium shot with a sweeping overhead angle, emphasizing the hero's resilience and the vastness of his adventure.",2,prompt_0002_seed_2.mp4,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0002_seed_2.mp4,results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0002_seed_2.mp4,480,832,165,16,10.3125,True,103.50474338978529,15437736960,14722.5732421875,4.414506364707783,12076646400,2735673120,204.71710980311036,6.769590204115957,1052.5084190447815,105.25084190447815,13.997915416104247,0.5129840847923126,0.43435129999098454,15.181814155670157,0.45659412055661885,0.47035289847912887,0.8349609375,61.53072764078776,0.7165465197276052,0.532307505607605,0.8635956554878049,0.5780507068865226,0.7943759368687141,0.5102153599262238,1,0.573083570873376,/data/vaishak/kv-quant-longhorizon/results/runs/1772751420_baseline10s_10prompts_v3,,,,,,,,,,,,,,,,,,,,,,,
vaishak:moviegen:/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s:AGE_TIER_INT2 [9bbee19b8cfd]:3:3,vaishak,combined-kv-quant,/data/vaishak/combined-kv-quant/results,moviegen,backfill_age_tier_int2_9bbee19b8cfd_10s,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s,backfill_age_tier_int2_9bbee19b8cfd_10s,AGE_TIER_INT2,AGE_TIER_INT2,AGE_TIER,9bbee19b8cfd,9bbee19b8cfd,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}","{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",3,3,"A drone view of waves crashing against the rugged cliffs along Big Sur’s Garay Point beach. The crashing blue waters create white-tipped waves, while the golden light of the setting sun illuminates the rocky shore, casting long shadows. In the distance, a small island with a lighthouse stands tall, its beam piercing the twilight. Green shrubbery covers the cliff’s edge, and the steep drop from the road down to the beach is a dramatic feat, with the cliff’s edges jutting out over the sea. The camera angle provides a bird's-eye view, capturing the raw beauty of the coast and the rugged landscape of the Pacific Coast Highway. The scene is bathed in a warm, golden hue, highlighting the textures and details of the rocky terrain.",3,prompt_0003_seed_3.mp4,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0003_seed_3.mp4,results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0003_seed_3.mp4,480,832,165,16,10.3125,True,105.13690592069179,15437736960,14722.5732421875,4.414506364707783,12076646400,2735673120,204.71710980311036,6.769590204115957,1052.5084190447815,105.25084190447815,13.042515936894278,0.35889575628487796,0.5170198552705574,15.181814155670157,0.45659412055661885,0.47035289847912887,0.8531032655297256,58.051426419344814,0.8261246244173225,0.4615482985973358,0.8635956554878049,0.5780507068865226,0.7943759368687141,0.5102153599262238,1,0.573083570873376,/data/vaishak/kv-quant-longhorizon/results/runs/1772751420_baseline10s_10prompts_v3,,,,,,,,,,,,,,,,,,,,,,,
vaishak:moviegen:/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s:AGE_TIER_INT2 [9bbee19b8cfd]:4:4,vaishak,combined-kv-quant,/data/vaishak/combined-kv-quant/results,moviegen,backfill_age_tier_int2_9bbee19b8cfd_10s,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s,backfill_age_tier_int2_9bbee19b8cfd_10s,AGE_TIER_INT2,AGE_TIER_INT2,AGE_TIER,9bbee19b8cfd,9bbee19b8cfd,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}","{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",4,4,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with a look of wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights every detail of its gentle, innocent expression. The pose conveys a sense of playfulness and exploration, as if the creature is discovering the world for the first time. The background features a cozy, warmly lit room with subtle hints of a fireplace and soft furnishings, enhancing the overall atmosphere. The use of warm colors and dramatic lighting creates a captivating and inviting scene.",4,prompt_0004_seed_4.mp4,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0004_seed_4.mp4,results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0004_seed_4.mp4,480,832,165,16,10.3125,True,106.71041809720919,15437736960,14722.5732421875,4.414506364707783,12076646400,2735673120,204.71710980311036,6.769590204115957,1052.5084190447815,105.25084190447815,18.06168878234047,0.5930900802980809,0.36924241764019383,15.181814155670157,0.45659412055661885,0.47035289847912887,0.8825103015434451,51.31920755559748,0.825062085669942,0.5868792533874512,0.8635956554878049,0.5780507068865226,0.7943759368687141,0.5102153599262238,1,0.573083570873376,/data/vaishak/kv-quant-longhorizon/results/runs/1772751420_baseline10s_10prompts_v3,,,,,,,,,,,,,,,,,,,,,,,
vaishak:moviegen:/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s:AGE_TIER_INT2 [9bbee19b8cfd]:5:5,vaishak,combined-kv-quant,/data/vaishak/combined-kv-quant/results,moviegen,backfill_age_tier_int2_9bbee19b8cfd_10s,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s,backfill_age_tier_int2_9bbee19b8cfd_10s,AGE_TIER_INT2,AGE_TIER_INT2,AGE_TIER,9bbee19b8cfd,9bbee19b8cfd,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}","{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",5,5,"A beautifully detailed papercraft illustration of a vibrant coral reef teeming with colorful fish and sea creatures. The coral formations are intricately designed, with each polyp and branch meticulously crafted. Schools of tropical fish swim gracefully among the corals, their scales shimmering in hues of turquoise, orange, and purple. Sea turtles glide smoothly over the reef, while a school of clownfish dart playfully around an anemone. The background features a soft, pastel-colored ocean with gentle waves and a hint of sunlight breaking through. The entire scene is rendered with a lifelike and textured papercraft style, capturing the essence of a thriving underwater ecosystem. A close-up view from a slightly elevated angle.",5,prompt_0005_seed_5.mp4,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0005_seed_5.mp4,results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0005_seed_5.mp4,480,832,165,16,10.3125,True,106.03074586810544,15437736960,14722.5732421875,4.414506364707783,12076646400,2735673120,204.71710980311036,6.769590204115957,1052.5084190447815,105.25084190447815,14.165928735199586,0.3123092108999715,0.47305553786343696,15.181814155670157,0.45659412055661885,0.47035289847912887,0.8807313500381098,64.691129210501,0.8049963047591652,0.5597141981124878,0.8635956554878049,0.5780507068865226,0.7943759368687141,0.5102153599262238,1,0.573083570873376,/data/vaishak/kv-quant-longhorizon/results/runs/1772751420_baseline10s_10prompts_v3,,,,,,,,,,,,,,,,,,,,,,,
vaishak:moviegen:/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s:AGE_TIER_INT2 [9bbee19b8cfd]:6:6,vaishak,combined-kv-quant,/data/vaishak/combined-kv-quant/results,moviegen,backfill_age_tier_int2_9bbee19b8cfd_10s,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s,backfill_age_tier_int2_9bbee19b8cfd_10s,AGE_TIER_INT2,AGE_TIER_INT2,AGE_TIER,9bbee19b8cfd,9bbee19b8cfd,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}","{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",6,6,"A close-up shot of a Victoria crowned pigeon in a naturalistic wildlife photography style, showcasing its striking blue plumage and red chest. The bird’s crest is adorned with delicate, lacy feathers, and its eye is a striking red color, adding to its regal and majestic appearance. The pigeon’s head is tilted slightly to the side, giving it a regal gaze. The background is blurred, emphasizing the bird’s striking beauty against a soft, muted backdrop. The lighting highlights the bird’s feathers, creating a vibrant and lifelike image.",6,prompt_0006_seed_6.mp4,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0006_seed_6.mp4,results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0006_seed_6.mp4,480,832,165,16,10.3125,True,106.05803401116282,15437736960,14722.5732421875,4.414506364707783,12076646400,2735673120,204.71710980311036,6.769590204115957,1052.5084190447815,105.25084190447815,17.71601961681729,0.6456335586492651,0.3801655475050211,15.181814155670157,0.45659412055661885,0.47035289847912887,0.8888132979230183,46.003480552904534,0.8465443509744435,0.47737938165664673,0.8635956554878049,0.5780507068865226,0.7943759368687141,0.5102153599262238,1,0.573083570873376,/data/vaishak/kv-quant-longhorizon/results/runs/1772751420_baseline10s_10prompts_v3,,,,,,,,,,,,,,,,,,,,,,,
vaishak:moviegen:/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s:AGE_TIER_INT2 [9bbee19b8cfd]:7:7,vaishak,combined-kv-quant,/data/vaishak/combined-kv-quant/results,moviegen,backfill_age_tier_int2_9bbee19b8cfd_10s,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s,backfill_age_tier_int2_9bbee19b8cfd_10s,AGE_TIER_INT2,AGE_TIER_INT2,AGE_TIER,9bbee19b8cfd,9bbee19b8cfd,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}","{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",7,7,"A photorealistic closeup video of two pirate ships battling each other as they sail inside a steaming cup of coffee. The ships are intricately detailed, with wooden planks, sails flapping in the breeze, and cannons aimed at each other. The crew members, wearing authentic pirate attire, brandish swords and pistols, their expressions fierce and determined. The coffee foam creates a frothy, turbulent sea, with ripples and waves realistically depicted. The background is a blurred, warm brown coffee surface, with steam rising gently. The camera angle is slightly elevated, capturing the intense action from above.",7,prompt_0007_seed_7.mp4,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0007_seed_7.mp4,results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0007_seed_7.mp4,480,832,165,16,10.3125,True,106.04244635207579,15437736960,14722.5732421875,4.414506364707783,12076646400,2735673120,204.71710980311036,6.769590204115957,1052.5084190447815,105.25084190447815,13.565436151648901,0.5069672286084747,0.4947263284219485,15.181814155670157,0.45659412055661885,0.47035289847912887,0.8648041515815549,64.38810692989465,0.7903985424739558,0.4836823642253876,0.8635956554878049,0.5780507068865226,0.7943759368687141,0.5102153599262238,1,0.573083570873376,/data/vaishak/kv-quant-longhorizon/results/runs/1772751420_baseline10s_10prompts_v3,,,,,,,,,,,,,,,,,,,,,,,
vaishak:moviegen:/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s:AGE_TIER_INT2 [9bbee19b8cfd]:8:8,vaishak,combined-kv-quant,/data/vaishak/combined-kv-quant/results,moviegen,backfill_age_tier_int2_9bbee19b8cfd_10s,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s,backfill_age_tier_int2_9bbee19b8cfd_10s,AGE_TIER_INT2,AGE_TIER_INT2,AGE_TIER,9bbee19b8cfd,9bbee19b8cfd,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}","{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",8,8,"A vibrant anime illustration in a thick painting style featuring a young man in his 20s sitting on a fluffy white cloud in the sky, engrossed in reading a classic leather-bound book. He has short, messy black hair and expressive brown eyes, wearing a casual white t-shirt and blue jeans. His posture is relaxed yet attentive, with one leg crossed over the other. The background is a vivid sky with cotton-like clouds and a soft sunset glow, casting a warm orange hue. The scene has a dreamy and ethereal quality. A medium shot with a slightly downward angle.",8,prompt_0008_seed_8.mp4,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0008_seed_8.mp4,results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0008_seed_8.mp4,480,832,165,16,10.3125,True,105.456691743806,15437736960,14722.5732421875,4.414506364707783,12076646400,2735673120,204.71710980311036,6.769590204115957,1052.5084190447815,105.25084190447815,18.797354856263663,0.5970239513407013,0.3879052068417271,15.181814155670157,0.45659412055661885,0.47035289847912887,0.9036984327362805,59.5833651340369,0.7872369186725559,0.543836772441864,0.8635956554878049,0.5780507068865226,0.7943759368687141,0.5102153599262238,1,0.573083570873376,/data/vaishak/kv-quant-longhorizon/results/runs/1772751420_baseline10s_10prompts_v3,,,,,,,,,,,,,,,,,,,,,,,
vaishak:moviegen:/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s:AGE_TIER_INT2 [9bbee19b8cfd]:9:9,vaishak,combined-kv-quant,/data/vaishak/combined-kv-quant/results,moviegen,backfill_age_tier_int2_9bbee19b8cfd_10s,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s,backfill_age_tier_int2_9bbee19b8cfd_10s,AGE_TIER_INT2,AGE_TIER_INT2,AGE_TIER,9bbee19b8cfd,9bbee19b8cfd,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}","{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",9,9,"A historical footage style photograph depicting a bustling gold rush town in California. The scene captures miners panning for gold in a stream, their faces weathered and determined. Behind them, makeshift wooden shacks and tents line the streets, with smoke rising from chimneys. A man in a dusty hat and tattered clothes stands near a sluice box, his hand on his hip, looking out towards the camera with a mix of hope and hardship. The background features rolling hills and dense forests, with a few oxen-drawn wagons in the distance. The photo has a sepia tone and a grainy texture, capturing the essence of the era. A medium shot with a slightly tilted angle.",9,prompt_0009_seed_9.mp4,/data/vaishak/combined-kv-quant/results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0009_seed_9.mp4,results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s/videos/AGE_TIER_INT2/prompt_0009_seed_9.mp4,480,832,165,16,10.3125,True,104.63042481383309,15437736960,14722.5732421875,4.414506364707783,12076646400,2735673120,204.71710980311036,6.769590204115957,1052.5084190447815,105.25084190447815,14.821816426814026,0.36288821797664667,0.4894806310816696,15.181814155670157,0.45659412055661885,0.47035289847912887,0.860436416253811,64.21104768695254,0.8256424534611586,0.43892720341682434,0.8635956554878049,0.5780507068865226,0.7943759368687141,0.5102153599262238,1,0.573083570873376,/data/vaishak/kv-quant-longhorizon/results/runs/1772751420_baseline10s_10prompts_v3,,,,,,,,,,,,,,,,,,,,,,,
